Capacidad,PesoViaje,# Pases,Capacidad Exc,CicloVolquete,Tarifa,Monto,CCosto,ToneladaSeca,HorasHorometros,VelocidadPromedio
20,31.16,4,5,31.38,46,48.116,1403,60.318904,9.39,13.194
24,37.392,8,3.2,31.38,50,26.15,1403,36.191342,10.84,13.281
24,37.392,5,5,31.38,50,104.6,1403,144.765371,10.84,13.281
24,37.392,5,5.16,31.38,50,52.3,1403,72.382685,6.03,13.426
24,37.392,8,3.2,31.38,50,52.3,1403,72.382685,6.03,13.426
24,37.392,4,6,31.38,50,78.45,1403,108.574028,10.54,13.345
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.11,12.758
24,37.392,8,3.2,31.38,50,26.15,1403,36.191342,10.03,12.709
24,37.392,8,3.2,31.38,50,26.15,1403,36.191342,10.64,12.643
24,37.392,5,5,31.38,50,26.15,1403,36.191342,10.64,12.643
24,37.392,8,3.2,31.38,50,52.3,1403,72.382685,9.2,14.35
24,37.392,5,5,31.38,50,104.6,1403,144.765371,9.2,14.35
24,37.392,4,6,31.38,50,156.9,1403,217.148057,10.38,13.45
24,37.392,8,3.2,31.38,50,26.15,1403,36.191342,10.38,13.45
24,37.392,4,6,31.38,50,183.05,1403,253.3394,10.8,13.556
24,37.392,5,5,31.38,50,52.3,1403,72.382685,8.43,13.797
24,37.392,5,5,31.38,50,104.6,1403,144.765371,0,14.623
24,37.392,5,5,31.38,50,78.45,1403,108.574028,9,14.341
24,37.392,5,5,31.38,50,78.45,1403,108.574028,5.14,13.999
24,37.392,5,5.16,31.38,50,156.9,1403,217.148057,10.76,13.306
24,37.392,4,6,31.38,50,183.05,1403,253.3394,10.87,13.491
24,37.392,5,5.16,31.38,50,130.75,1403,180.956714,11.03,13.613
24,37.392,5,5.16,31.38,50,104.6,1403,144.765371,10.83,14.022
24,37.392,5,5.16,31.38,50,104.6,1403,144.765371,9.89,14.661
24,37.392,5,5.16,31.38,50,156.9,1403,217.148057,10.55,14.605
24,37.392,5,5.16,31.38,50,104.6,1403,144.765371,10.42,13.727
24,37.392,5,5.16,31.38,50,130.75,1403,180.956714,10.85,14.489
24,37.392,5,5.16,31.38,50,130.75,1403,180.956714,10.69,13.943
20,31.16,6,3.2,31.38,44,23.012,1403,30.159452,4.93,12.963
24,37.392,5,5.16,31.38,50,52.3,1403,72.382685,6.27,14.295
24,37.392,5,5.16,31.38,50,78.45,1403,108.574028,10.93,12.871
24,37.392,5,5,31.38,50,209.2,1403,289.530743,10.24,13.529
24,37.392,5,5,31.38,50,104.6,1403,144.765371,10.59,13.141
24,37.392,5,5,31.38,50,130.75,1403,180.956714,10.4,13.223
24,37.392,5,5,31.38,50,104.6,1403,144.765371,7.07,14.006
24,37.392,5,5,31.38,50,156.9,1403,217.148057,10.7,12.904
24,37.392,5,5,31.38,50,104.6,1403,144.765371,10.4,12.579
20,31.16,4,5,31.38,46,24.058,1403,30.159452,10,13.243
24,37.392,5,5,31.38,50,130.75,1403,180.956714,10.51,12.754
24,37.392,5,5,31.38,50,235.35,1403,325.722085,10.86,13.071
24,37.392,5,5,31.38,50,130.75,1403,180.956714,0,12.87
24,37.392,5,5,31.38,50,156.9,1403,217.148057,10.7,12.441
24,37.392,5,5,31.38,50,235.35,1403,325.722085,10.35,12.761
24,37.392,5,5,31.38,50,261.5,1403,361.913428,10.45,13.58
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.05,13.224
24,37.392,5,5,31.38,50,209.2,1403,289.530743,10.05,13.224
24,37.392,4,6,31.38,50,78.45,1403,108.574028,8.1,13.095
24,37.392,4,6,31.38,50,78.45,1403,108.574028,10.69,12.732
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.99,12.902
24,37.392,4,6,31.38,50,78.45,1403,108.574028,10.35,13.211
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.69,12.935
24,37.392,4,6,31.38,50,78.45,1403,108.574028,9.98,13.482
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.12,13.105
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.19,13.134
24,37.392,4,6,31.38,50,52.3,1403,72.382685,2.33,13.823
24,37.392,4,6,31.38,50,26.15,1403,36.191342,9.47,13.644
24,37.392,4,6,31.38,50,52.3,1403,72.382685,9.2,13.049
24,37.392,5,5.16,31.38,50,52.3,1403,72.382685,10.06,12.663
24,37.392,5,5.16,31.38,50,52.3,1403,72.382685,9.95,13.515
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.75,13.471
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.89,13.265
24,37.392,4,6,31.38,50,52.3,1403,72.382685,6.65,13.541
24,37.392,5,5,31.38,50,156.9,1403,217.148057,10.81,13.338
24,37.392,5,5,31.38,50,104.6,1403,144.765371,10.56,13.378
24,37.392,5,5,31.38,50,104.6,1403,144.765371,6.27,13.63
24,37.392,5,5,31.38,50,104.6,1403,144.765371,9.95,12.918
24,37.392,5,5,31.38,50,52.3,1403,72.129915,6.5,13.828
24,37.392,5,5,31.38,50,235.35,1403,324.584621,10.8,13.343
24,37.392,5,5,31.38,50,78.45,1403,108.194873,0,14.479
20,31.16,4,5,31.38,46,96.232,1403,120.216526,5.79,14.316
24,37.392,5,5,31.38,50,235.35,1403,324.584621,10.11,13.734
24,37.392,5,5,31.38,50,183.05,1403,252.454705,10.27,13.894
24,37.392,5,5,31.38,50,104.6,1403,144.259831,10.13,13.516
24,37.392,5,5,31.38,50,209.2,1403,288.519663,8.07,13.241
24,37.392,5,5,31.38,50,156.9,1403,216.389747,8.06,13.144
24,37.392,5,5,31.38,50,104.6,1403,144.259831,9.14,15.754
24,37.392,5,5,31.38,50,156.9,1403,216.389747,10.8,14.498
24,37.392,4,6,31.38,50,235.35,1403,324.584621,9.99,14.333
24,37.392,4,6,31.38,50,261.5,1403,360.649579,11.07,14.519
24,37.392,4,6,31.38,50,235.35,1403,324.584621,10.62,14.599
24,37.392,4,6,31.38,50,235.35,1403,324.584621,9.97,14.895
24,37.392,4,6,31.38,50,104.6,1403,144.259831,10.29,13.954
24,37.392,5,5,31.38,50,156.9,1403,216.389747,10.29,13.954
24,37.392,4,6,31.38,50,183.05,1403,252.454705,10.87,14.437
24,37.392,4,6,31.38,50,287.65,1403,396.714537,10.74,14.764
24,37.392,4,6,31.38,50,183.05,1403,252.454705,10.03,14.451
24,37.392,4,6,31.38,50,287.65,1403,396.714537,10.4,15.356
24,37.392,4,6,31.38,50,235.35,1403,324.584621,10.87,14.289
24,37.392,4,6,31.38,50,235.35,1403,324.584621,10.04,14.696
24,37.392,4,6,31.38,50,209.2,1403,288.519663,10.75,14.27
24,37.392,4,6,31.38,50,235.35,1403,324.584621,0,14.063
24,37.392,5,5,31.38,50,52.3,1403,72.129915,0,14.667
24,37.392,4,6,31.38,50,183.05,1403,252.454705,11,15.079
24,37.392,4,6,31.38,50,183.05,1403,252.454705,10.72,15.027
20,31.16,4,5,31.38,46,120.29,1403,150.270658,10.25,14.328
24,37.392,5,5,31.38,50,104.6,1403,144.259831,8.98,15.341
24,37.392,4,6,31.38,50,52.3,1403,72.129915,10.58,14.362
24,37.392,5,5,31.38,50,104.6,1403,144.259831,0,14.189
24,37.392,5,5,31.38,50,156.9,1403,216.389747,0,14.308
24,37.392,5,5,31.38,50,261.5,1403,360.649579,9.96,13.724
24,37.392,5,5,31.38,50,287.65,1403,396.714537,10.14,13.57
24,37.392,5,5,31.38,50,287.65,1403,396.714537,10.02,13.48
24,37.392,5,5,31.38,50,339.95,1403,468.844452,10.06,13.588
24,37.392,5,5,31.38,50,313.8,1403,432.779495,10.25,13.274
24,37.392,5,5,31.38,50,235.35,1403,324.584621,10.15,14.046
24,37.392,5,5,31.38,50,339.95,1403,468.844452,9.91,13.65
24,37.392,5,5,31.38,50,261.5,1403,360.649579,9.4,13.478
24,37.392,5,5,31.38,50,78.45,1403,108.194873,2.5,13.352
24,37.392,5,5,31.38,50,261.5,1403,360.649579,10.5,12.99
24,37.392,5,5,31.38,50,313.8,1403,432.779495,10.5,13.408
24,37.392,5,5,31.38,50,339.95,1403,468.844452,9.37,14.26
24,37.392,5,5,31.38,50,287.65,1403,396.714537,10.28,14.313
24,37.392,5,5.16,31.38,50,26.15,1403,36.064957,10.86,12.74
24,37.392,5,5,31.38,50,130.75,1403,180.324789,5.04,14.068
24,37.392,5,5,31.38,50,287.65,1403,396.714537,8.2,13.341
24,37.392,5,5,31.38,50,366.1,1403,504.90941,10.35,13.012
20,31.16,4,5,31.38,46,192.464,1403,241.253184,9,12.866
20,31.16,6,4,31.38,46,24.058,1403,30.156648,9,12.866
20,31.16,4,5,31.38,46,216.522,1403,271.409832,11,12.933
20,31.16,6,4,31.38,46,24.058,1403,30.156648,11,12.933
24,37.392,4,6,31.38,50,52.3,1403,72.375955,10.26,13.889
24,37.392,4,6,31.38,50,78.45,1403,108.563932,10.23,13.792
24,37.392,4,6,31.38,50,78.45,1403,108.563932,7.13,13.827
24,37.392,4,6,31.38,50,52.3,1403,72.375955,8.66,13.736
24,37.392,4,6,31.38,50,104.6,1403,144.75191,10.67,13.321
24,37.392,4,6,31.38,50,52.3,1403,72.375955,10.23,14.078
24,37.392,4,6,31.38,50,26.15,1403,36.187977,9.17,13.933
24,37.392,4,6,31.38,50,26.15,1403,36.187977,10.23,14.115
24,37.392,4,6,31.38,50,78.45,1403,108.563932,10.64,13.662
24,37.392,5,5,31.38,50,52.3,1403,72.375955,0,12.731
24,37.392,4,6,31.38,50,78.45,1403,108.563932,6.2,13.39
24,37.392,5,5,31.38,50,104.6,1403,144.75191,9.8,14.215
24,37.392,4,6,31.38,50,26.15,1403,36.187977,9.8,14.215
20,31.16,4,5,31.38,46,240.58,1403,301.56648,10.52,13.801
24,37.392,,6.2,31.38,50,156.9,1403,217.127865,10.25,14.017
24,37.392,,6.2,31.38,50,130.75,1403,180.939888,10.17,13.957
24,37.392,,6.2,31.38,50,156.9,1403,217.127865,9.94,13.418
24,37.392,,6.2,31.38,50,104.6,1403,144.75191,10.05,13.338
24,37.392,,6.2,31.38,50,130.75,1403,180.939888,9.95,12.762
24,37.392,4,6,31.38,50,52.3,1403,72.375955,10.01,13.305
24,37.392,,6.2,31.38,50,130.75,1403,180.939888,10.01,13.305
24,37.392,,6.2,31.38,50,156.9,1403,217.127865,10.09,14.719
24,37.392,,6.2,31.38,50,156.9,1403,217.127865,10.53,13.622
24,37.392,4,6,31.38,50,26.15,1403,36.187977,10.93,14.388
24,37.392,4,6,31.38,50,26.15,1403,36.187977,10.14,13.985
24,37.392,,6.2,31.38,50,104.6,1403,144.75191,10.63,14.248
24,37.392,5,5,31.38,50,209.2,1403,289.50382,0,14.289
24,37.392,5,5,31.38,50,78.45,1403,108.563932,2.12,14.559
24,37.392,4,6,31.38,50,78.45,1403,108.563932,10.43,13.968
20,31.16,4,5,31.38,46,240.58,1403,301.56648,8.6,14.297
20,31.16,4,5,31.38,46,192.464,1403,241.253184,7.75,14.25
20,31.16,4,5,31.38,46,96.232,1403,120.626592,7.53,14.2
24,37.392,5,5,31.38,50,209.2,1403,289.50382,7.55,14.425
24,37.392,5,5,31.38,50,183.05,1403,253.315843,8.74,13.795
24,37.392,5,5,31.38,50,183.05,1403,253.315843,8.71,14.595
24,37.392,5,5,31.38,50,261.5,1403,361.879776,8.9,14.511
24,37.392,5,5,31.38,50,261.5,1403,361.879776,8.76,13.684
24,37.392,5,5,31.38,50,235.35,1403,325.691798,8.75,14.029
24,37.392,5,5,31.38,50,235.35,1403,325.691798,8.06,14.949
24,37.392,5,5,31.38,50,156.9,1403,217.127865,4.59,14.395
24,37.392,5,5,31.38,50,235.35,1403,325.691798,5.99,14.238
24,37.392,4,6,31.38,50,104.6,1403,144.75191,10.56,13.915
24,37.392,4,6,31.38,50,78.45,1403,108.563932,9.85,14.971
24,37.392,4,6,31.38,50,78.45,1403,108.563932,5.22,15.532
24,37.392,,6.2,31.38,50,130.75,1403,180.939888,9.96,13.244
24,37.392,4,6,31.38,50,26.15,1403,36.187977,0,13.556
24,37.392,,6.2,31.38,50,156.9,1403,217.127865,10.22,13.474
24,37.392,,6.2,31.38,50,130.75,1403,180.939888,9.06,14.105
24,37.392,5,5,31.38,50,78.45,1403,108.563932,8.15,13.684
24,37.392,4,6,31.38,50,52.3,1403,72.375955,10.29,13.804
20,31.16,4,5,31.38,46,24.058,1403,30.156648,11,12.697
24,37.392,5,5,31.38,50,52.3,1403,72.375955,10.59,13.811
24,37.392,5,5,31.38,50,26.15,1403,36.187977,11.02,13.08
24,37.392,,6.2,31.38,50,26.15,1403,36.187977,11.02,13.08
24,37.392,5,5.16,31.38,50,52.3,1403,72.375955,8.41,13.337
24,37.392,5,5.16,31.38,50,78.45,1403,108.563932,9.36,13.571
20,31.16,4,5,31.38,46,24.058,1403,30.156648,10.54,12.759
24,37.392,5,5.16,31.38,50,26.15,1403,36.187977,10.03,12.54
24,37.392,5,5.16,31.38,50,52.3,1403,72.375955,9.97,13.109
24,37.392,5,5.16,31.38,50,26.15,1403,36.187977,10.92,13.889
24,37.392,5,5,31.38,50,26.15,1403,36.187977,10.92,13.889
24,37.392,5,5.16,31.38,50,26.15,1403,36.187977,10.7,13.278
24,37.392,5,5.16,31.38,50,26.15,1403,36.187977,10.71,13.628
24,37.392,4,6,31.38,50,26.15,1403,36.187977,9.41,14.344
24,37.392,4,6,31.38,50,26.15,1403,36.187977,10.97,13.627
24,37.392,4,6,31.38,50,26.15,1403,36.187977,10.74,14.293
24,37.392,,6.2,31.38,50,26.15,1403,36.187977,10.03,14.559
24,37.392,4,6,31.38,50,26.15,1403,36.187977,9.49,13.73
24,37.392,5,5,31.38,50,104.6,1403,144.75191,10.08,15.346
24,37.392,,6.2,31.38,50,26.15,1403,36.187977,9.46,14.06
24,37.392,5,5,31.38,50,26.15,1403,36.187977,10.1,14.041
24,37.392,,6.2,31.38,50,26.15,1403,36.187977,10.1,14.041
24,37.392,,6.2,31.38,50,26.15,1403,36.187977,9.28,14.08
24,37.392,5,5,31.38,50,26.15,1403,36.187977,9.44,14.135
24,37.392,5,5,31.38,50,104.6,1403,144.75191,10.24,14.06
24,37.392,,6.2,31.38,50,52.3,1403,72.375955,10.24,14.06
24,37.392,5,5,31.38,50,52.3,1403,72.375955,7.84,13.314
24,37.392,5,5,31.38,50,26.15,1403,36.187977,10.12,13.256
