xcor,ycor,velocidad,timecreac,tramosid,tonelaje,
19857198,839632034,2.96,43469,-1,243.3,
19857280,839632035,2.4,43469.00002,-1,243.3,
19857445,839632015,3.14,43469.00005,-1,243.3,
19857528,839632006,2.03,43469.00007,-1,243.3,
19857610,839631986,0.92,43469.00009,-1,243.3,
19857610,839631986,1.29,43469.00012,-1,243.3,
19857693,839631966,0.55,43469.00014,-1,243.3,
19857693,839631966,0.55,43469.00016,-1,243.3,
19857693,839631934,0,43469.00019,-1,243.3,
19857693,839631934,0.18,43469.00021,-1,243.3,
19857693,839631934,0,43469.00023,-1,243.3,
19857776,839631903,0,43469.00025,-1,243.3,
19857776,839631872,0,43469.00028,-1,243.3,
19857777,839631851,0,43469.0003,-1,243.3,
19857777,839631851,0,43469.00032,-1,243.3,
19857859,839631873,0,43469.00035,-1,243.3,
19857859,839631873,0.18,43469.00037,-1,243.3,
19857941,839631853,0.18,43469.00039,-1,243.3,
19857941,839631853,0.18,43469.00042,-1,243.3,
19857941,839631853,0.18,43469.00044,-1,243.3,
19857941,839631853,0.18,43469.00046,-1,243.3,
19858023,839631875,3.14,43469.00049,-1,243.3,
19857858,839631936,3.14,43469.00051,-1,243.3,
19857775,839631967,3.51,43469.00053,-1,243.3,
19857775,839631967,3.51,43469.00056,-1,243.3,
19857527,839632059,4.44,43469.00058,-1,243.3,
19857362,839632120,3.14,43469.0006,-1,243.3,
19857114,839632149,4.07,43469.00062,-1,243.3,
19856867,839632198,4.25,43469.00065,-1,243.3,
19856620,839632227,5.18,43469.00067,-1,243.3,
19856124,839632358,7.77,43469.00069,-1,243.3,
19855629,839632437,10,43469.00072,4830,0,
19855051,839632588,12.4,43469.00074,4830,0,
19855051,839632588,12.4,43469.00076,4830,0,
19854308,839632801,16.66,43469.00079,4830,0,
19853235,839633041,20.74,43469.00081,4830,0,
19850511,839633673,20.55,43469.00083,4830,0,
19849933,839633803,20.92,43469.00086,4830,0,
19849933,839633803,20.92,43469.00088,4830,0,
19848777,839634095,22.4,43469.0009,4830,0,
19847043,839634549,22.03,43469.00093,4830,0,
19845805,839634798,21.66,43469.00095,4830,0,
19844651,839634964,20.92,43469.00097,4830,0,
19844651,839634964,20.92,43469.001,4830,0,
19843499,839634950,18.33,43469.00102,4830,0,
19842593,839634981,14.63,43469.00104,4830,0,
19842181,839635029,1.11,43469.00106,4830,0,
19842181,839635007,0.18,43469.00109,4830,0,
19842099,839634985,0.18,43469.00111,4830,0,
19842181,839634986,0.18,43469.00113,4830,0,
19842181,839634986,0,43469.00116,4830,0,
19842181,839635007,0,43469.00118,4830,0,
19842098,839635028,0,43469.0012,4830,0,
19842098,839635038,0,43469.00123,4830,0,
19842098,839635038,0,43469.00125,4830,0,
19842016,839635037,0,43469.00127,4830,0,
19842016,839635037,0,43469.0013,4830,0,
19842016,839635037,0,43469.00132,4830,0,
19842016,839635037,0,43469.00134,4830,0,
19842016,839635037,0,43469.00137,4830,0,
19841934,839635036,0,43469.00139,4830,0,
19841933,839635057,0.18,43469.00141,4830,0,
19841933,839635057,0.18,43469.00144,4830,0,
19841933,839635078,0.18,43469.00146,4830,0,
19841933,839635078,0.18,43469.00148,4830,0,
19841933,839635089,0.18,43469.0015,4830,0,
19841851,839635088,0.18,43469.00153,4830,0,
19841850,839635120,0.18,43469.00155,4830,0,
19841850,839635120,0.18,43469.00157,4830,0,
19841768,839635140,0,43469.0016,4830,0,
19841768,839635140,0.18,43469.00162,4830,0,
19841768,839635140,0.18,43469.00164,4830,0,
19841768,839635140,0,43469.00167,4830,0,
19841768,839635140,0.37,43469.00169,4830,0,
19841768,839635140,0.37,43469.00171,4830,0,
19841686,839635139,0.18,43469.00174,4830,0,
19841686,839635139,0.55,43469.00176,4830,0,
19841686,839635139,0.74,43469.00178,4830,0,
19841686,839635139,0.18,43469.00181,4830,0,
19841686,839635139,0,43469.00183,4830,0,
19841686,839635139,0,43469.00185,4830,0,
19841686,839635118,4.07,43469.00187,4830,0,
19841438,839635199,6.29,43469.0019,4830,0,
19841025,839635289,8.33,43469.00192,4830,0,
19840612,839635432,10,43469.00194,4830,0,
19840612,839635432,10,43469.00197,4830,0,
19840034,839635594,13.33,43469.00199,4830,0,
19838796,839635832,18.7,43469.00201,4830,0,
19837642,839635987,20.55,43469.00204,4830,0,
19837642,839635987,20.55,43469.00206,4830,0,
19835249,839636475,23.15,43469.00208,4830,0,
19832856,839636910,22.03,43469.00211,4830,0,
19832856,839636910,22.03,43469.00213,4830,0,
19830958,839637331,22.4,43469.00215,4830,0,
19829881,839637877,21.29,43469.00218,4830,0,
19829383,839638230,19.63,43469.0022,4830,0,
19828462,839639528,18.14,43469.00222,4830,0,
19828121,839640464,17.59,43469.00225,4830,0,
19828110,839641404,14.07,43469.00227,4830,0,
19828110,839641404,14.07,43469.00229,4830,0,
19828347,839642199,15,43469.00231,4830,0,
19829323,839643151,16.66,43469.00234,4830,0,
19830224,839643500,16.11,43469.00236,4830,0,
19830633,839643695,17.4,43469.00238,4830,0,
19832112,839643913,16.66,43469.00241,4830,0,
19833183,839643895,20.92,43469.00243,4830,0,
19834583,839643849,24.81,43469.00245,4830,0,
19836558,839643820,22.4,43469.00248,4830,0,
19837876,839643783,22.77,43469.0025,4830,0,
19838452,839643748,22.77,43469.00252,4830,0,
19839770,839643722,22.96,43469.00255,4830,0,
19841663,839643713,23.15,43469.00257,4830,0,
19842980,839643708,24.63,43469.00259,4830,0,
19844462,839643674,27.78,43469.00262,4830,0,
19846027,839643608,30,43469.00264,4830,0,
19846027,839643608,30,43469.00266,4830,0,
19849486,839643482,31.29,43469.00269,4830,0,
19849486,839643482,31.29,43469.00271,4830,0,
19851299,839643293,30.92,43469.00273,4830,0,
19851299,839643293,30.92,43469.00275,4830,0,
19855499,839643069,30.55,43469.00278,4830,0,
19857228,839643027,30.74,43469.0028,4830,0,
19859040,839642986,31.48,43469.00282,4830,0,
19861675,839642891,31.11,43469.00285,4830,0,
19862581,839642860,30.92,43469.00287,3978,0,
19864310,839642829,31.48,43469.00289,3978,0,
19866121,839642777,31.48,43469.00292,3978,0,
19868758,839642555,31.48,43469.00294,3978,0,
19870489,839642334,30.92,43469.00296,3978,0,
19872136,839642259,30.55,43469.00299,3978,0,
19872136,839642259,30.55,43469.00301,3978,0,
19874770,839642238,31.29,43469.00303,3978,0,
19875676,839642260,31.29,43469.00306,3978,0,
19877401,839642524,30.18,43469.00308,3978,0,
19878876,839643070,26.11,43469.0031,3978,0,
19880505,839644441,27.22,43469.00312,3978,0,
19881561,839645626,28.89,43469.00315,3978,0,
19882533,839646927,28.7,43469.00317,3978,0,
19883019,839647545,27.78,43469.00319,3978,0,
19884479,839649348,29.26,43469.00322,3978,0,
19885451,839650648,28.89,43469.00324,3978,0,
19886340,839651968,28.7,43469.00326,3978,0,
19887466,839654168,29.44,43469.00329,3978,0,
19887466,839654168,29.44,43469.00331,3978,0,
19888023,839655664,28.89,43469.00333,1048,0,
19888179,839656426,28.7,43469.00336,1048,0,
19888645,839658681,28.7,43469.00338,1048,0,
19888626,839660233,28.15,43469.0034,1048,0,
19888196,839661738,28.7,43469.00343,1048,0,
19886527,839663587,30.92,43469.00345,1048,0,
19885862,839664128,32.03,43469.00347,1048,0,
19884449,839665283,30.92,43469.0035,1048,0,
19883200,839666429,30.37,43469.00352,1048,0,
19881447,839668456,30.74,43469.00354,1048,0,
19880524,839669892,29.44,43469.00356,1048,0,
19879848,839671288,27.96,43469.00359,1048,0,
19879162,839673582,29.63,43469.00361,1048,0,
19879070,839674383,29.07,43469.00363,1047,0,
19878885,839676007,28.15,43469.00366,1047,0,
19878528,839678326,28.7,43469.00368,1047,0,
19878424,839680046,30.92,43469.0037,1047,0,
19878402,839681926,36.11,43469.00373,1047,0,
19878471,839682982,37.59,43469.00375,1047,0,
19878471,839682982,37.59,43469.00377,1047,0,
19878924,839686304,41.29,43469.0038,1047,0,
19879804,839688374,40.37,43469.00382,1047,0,
19881830,839690996,37.59,43469.00384,1047,0,
19883379,839692283,35.18,43469.00387,1047,0,
19886082,839693329,32.03,43469.00389,4033,0,
19888633,839693382,27.22,43469.00391,4033,0,
19890115,839693357,24.26,43469.00394,4033,0,
19890115,839693357,24.26,43469.00396,4033,0,
19892010,839693254,20.92,43469.00398,4033,0,
19893000,839693044,17.4,43469.004,4033,0,
19893494,839693029,16.48,43469.00403,4033,0,
19894398,839693146,14.81,43469.00405,4033,0,
19894398,839693146,14.81,43469.00407,4033,0,
19895137,839693260,12.22,43469.0041,4033,0,
19895876,839693428,13.51,43469.00412,4033,0,
19897024,839693843,12.22,43469.00414,4033,0,
19897761,839694116,9.63,43469.00417,4032,0,
19898252,839694323,7.77,43469.00419,4032,0,
19898499,839694326,0,43469.00421,4032,0,
19898499,839694326,0,43469.00424,4032,0,
19898417,839694293,3.14,43469.00426,4032,0,
19899234,839694799,9.63,43469.00428,4032,0,
19899234,839694799,9.63,43469.00431,4032,0,
19899806,839695197,11.48,43469.00433,4032,0,
19900537,839695956,14.26,43469.00435,4032,0,
19900537,839695956,14.26,43469.00437,4032,0,
19901104,839696765,19.44,43469.0044,4032,0,
19901666,839697860,22.96,43469.00442,4032,0,
19901666,839697860,22.96,43469.00444,4032,0,
19901666,839697860,22.96,43469.00447,4032,0,
19901666,839697860,22.96,43469.00449,4032,0,
19901666,839697860,22.96,43469.00451,4032,0,
19901666,839697860,22.96,43469.00454,4032,0,
19901666,839697860,22.96,43469.00456,4032,0,
19901666,839697860,22.96,43469.00458,4032,0,
19901666,839697860,22.96,43469.00461,4032,0,
19901666,839697860,22.96,43469.00463,4032,0,
19901666,839697860,22.96,43469.00465,4032,0,
19901666,839697860,22.96,43469.00468,4032,0,
19901666,839697860,22.96,43469.0047,4032,0,
19901666,839697860,22.96,43469.00472,4032,0,
19910518,839721242,37.59,43469.00475,4030,0,
19910836,839722197,37.78,43469.00477,4030,0,
19911306,839724156,38.15,43469.00479,4030,0,
19911926,839727300,38.15,43469.00481,4030,0,
19912477,839729345,38.33,43469.00484,4030,0,
19913276,839731350,39.63,43469.00486,4030,0,
19915219,839734035,39.44,43469.00488,4030,0,
19916033,839734774,38.52,43469.00491,4030,0,
19917829,839735947,38.15,43469.00493,12,0,
19919875,839736922,38.7,43469.00495,12,0,
19924879,839738409,37.22,43469.00498,12,0,
19924879,839738409,37.22,43469.005,12,0,
19926930,839738941,35.18,43469.00502,12,0,
19928818,839739407,35.37,43469.00505,12,0,
19931692,839739949,36.11,43469.00507,12,0,
19933746,839740291,35.92,43469.00509,12,0,
19935800,839740601,35.74,43469.00512,12,0,
19937773,839740815,34.81,43469.00514,12,0,
19937773,839740815,34.81,43469.00516,2967,0,
19941719,839741169,35.37,43469.00519,2967,0,
19943775,839741385,37.04,43469.00521,2967,0,
19945829,839741716,37.41,43469.00523,2967,0,
19945829,839741716,37.41,43469.00525,2967,0,
19948048,839741975,38.52,43469.00528,2967,0,
19950185,839742223,38.33,43469.0053,2967,0,
19953392,839742526,37.78,43469.00532,2967,0,
19957585,839742904,36.29,43469.00535,2967,0,
19957585,839742904,36.29,43469.00537,2967,0,
19958572,839742990,36.11,43469.00539,2967,0,
19961781,839743082,38.89,43469.00542,2967,0,
19963923,839742939,38.52,43469.00544,2968,0,
19966147,839742840,39.81,43469.00546,2968,0,
19968368,839742930,40.92,43469.00549,2968,0,
19971823,839743130,43.15,43469.00551,2968,0,
19974292,839743160,44.26,43469.00553,2968,0,
19976844,839743086,46.85,43469.00556,2968,0,
19978162,839743049,48.15,43469.00558,2968,0,
19982280,839742877,51.85,43469.0056,2968,0,
19982280,839742877,51.85,43469.00562,2968,0,
19985163,839742722,50.55,43469.00565,3022,0,
19987880,839742608,51.11,43469.00567,3022,0,
19990763,839742484,50.74,43469.00569,3022,0,
19995046,839742251,52.41,43469.00572,3022,0,
19997847,839742042,50.93,43469.00574,3022,0,
20000649,839741823,50.37,43469.00576,3022,0,
20003368,839741613,48.89,43469.00579,3022,0,
20007404,839741356,50,43469.00581,3022,0,
20008805,839741267,48.7,43469.00583,3022,0,
20011358,839741098,46.11,43469.00586,3022,0,
20013912,839740949,45.74,43469.00588,3022,0,
20016465,839740811,46.67,43469.0059,3022,0,
20020419,839740585,47.78,43469.00593,3022,0,
20020419,839740585,47.78,43469.00595,3022,0,
20023053,839740585,47.04,43469.00597,3022,0,
20025684,839740871,45.18,43469.006,21,0,
20028063,839741501,43.33,43469.00602,21,0,
20031005,839743279,38.7,43469.00604,21,0,
20032386,839744785,35,43469.00606,21,0,
20033603,839746268,33.52,43469.00609,21,0,
20034171,839746951,31.48,43469.00611,21,0,
20036043,839748705,30.37,43469.00613,21,0,
20037346,839749809,30.37,43469.00616,21,0,
20038733,839750818,29.81,43469.00618,21,0,
20040941,839752017,29.63,43469.0062,21,0,
20041678,839752396,29.07,43469.00623,21,0,
20043234,839753038,29.44,43469.00625,22,0,
20043234,839753038,29.44,43469.00627,22,0,
20047086,839754383,28.7,43469.0063,22,0,
20048645,839754782,29.44,43469.00632,22,0,
20050287,839755119,28.89,43469.00634,22,0,
20052751,839755645,28.33,43469.00637,22,0,
20054392,839756045,27.78,43469.00639,22,0,
20055213,839756214,26.29,43469.00641,22,0,
20056609,839756516,25.55,43469.00644,22,0,
20056609,839756516,25.55,43469.00646,22,0,
20058745,839756880,26.85,43469.00648,23,0,
20061701,839757412,27.96,43469.0065,23,0,
20061701,839757412,27.96,43469.00653,23,0,
20063261,839757758,28.33,43469.00655,23,0,
20064904,839758052,28.33,43469.00657,23,0,
20066465,839758325,28.33,43469.0066,23,0,
20068763,839758828,28.89,43469.00662,23,0,
20070157,839759257,28.52,43469.00664,23,0,
20071634,839759665,28.89,43469.00667,23,0,
20073111,839760032,29.07,43469.00669,23,0,
20073850,839760220,28.7,43469.00671,86,0,
20076146,839760956,28.33,43469.00674,86,0,
20077619,839761639,29.26,43469.00676,86,0,
20079090,839762554,27.96,43469.00678,86,0,
20079090,839762554,27.96,43469.00681,86,0,
20080716,839764179,27.59,43469.00683,86,0,
20080716,839764179,27.59,43469.00685,86,0,
20082083,839766878,27.59,43469.00687,86,0,
20082239,839767619,27.22,43469.0069,86,0,
20082624,839769820,27.4,43469.00692,86,0,
20082852,839771343,27.22,43469.00694,86,0,
20083081,839772846,27.22,43469.00697,86,0,
20083383,839775056,27.4,43469.00699,86,0,
20083383,839775056,27.4,43469.00701,86,0,
20083849,839777343,27.4,43469.00704,86,0,
20084396,839779778,28.52,43469.00706,86,0,
20084396,839779778,28.52,43469.00708,86,0,
20084788,839781378,28.89,43469.00711,86,0,
20085181,839782967,28.52,43469.00713,86,0,
20085481,839785336,28.89,43469.00715,25,0,
20085709,839786933,28.89,43469.00718,25,0,
20086019,839788489,29.07,43469.0072,25,0,
20086329,839790087,28.52,43469.00722,25,0,
20086721,839791676,28.52,43469.00725,25,0,
20087031,839793306,29.07,43469.00727,25,0,
20087342,839794841,28.33,43469.00729,25,0,
20087808,839797085,28.33,43469.00731,25,0,
20087964,839797837,28.33,43469.00734,25,0,
20088357,839799373,28.52,43469.00736,25,0,
20088749,839800930,28.33,43469.00738,25,0,
20089051,839803225,27.78,43469.00741,2003,0,
20089362,839804718,27.59,43469.00743,2003,0,
20089673,839806200,27.22,43469.00745,2003,0,
20089673,839806200,27.22,43469.00748,2003,0,
20089985,839807682,27.03,43469.0075,2003,0,
20090460,839809198,27.59,43469.00752,2003,0,
20090854,839810681,28.52,43469.00755,2003,0,
20091981,839812786,29.26,43469.00757,2003,0,
20093036,839814013,29.81,43469.00759,2003,0,
20094342,839814948,27.03,43469.00762,2003,0,
20096470,839815966,27.96,43469.00764,2003,0,
20097289,839816261,28.89,43469.00766,2003,0,
20097289,839816261,28.89,43469.00769,2003,0,
20098932,839816598,28.89,43469.00771,2003,0,
20102388,839816693,28.52,43469.00773,2003,0,
20104034,839816670,28.52,43469.00775,2003,0,
20106420,839816752,28.7,43469.00778,2003,0,
20107984,839816813,28.7,43469.0078,2004,0,
20109630,839816844,28.52,43469.00782,2004,0,
20111194,839816852,28.52,43469.00785,2004,0,
null,null,#¡VALOR!,43469.00787,null,#¡VALOR!,
20113580,839816881,28.33,43469.00789,2004,0,
20115144,839816910,28.33,43469.00792,2004,0,
20117530,839817003,28.7,43469.00794,2004,0,
20119831,839817326,28.33,43469.00796,2004,0,
20121309,839817618,28.15,43469.00799,2004,0,
20121309,839817618,28.15,43469.00801,2004,0,
20122786,839818059,28.33,43469.00803,2004,0,
20124260,839818615,27.96,43469.00806,2004,0,
20126386,839819845,27.96,43469.00808,2004,0,
20126386,839819845,27.96,43469.0081,2004,0,
20127693,839820653,27.4,43469.00812,2004,0,
20129733,839822124,27.96,43469.00815,2004,0,
20131443,839823644,27.78,43469.00817,2004,0,
20132583,839824735,27.96,43469.00819,582,0,
20132583,839824735,27.96,43469.00822,582,0,
20134447,839827112,27.4,43469.00824,582,0,
20135657,839829176,28.15,43469.00826,582,0,
20135978,839829898,27.96,43469.00829,582,0,
20135978,839829898,27.96,43469.00831,582,0,
20136537,839831288,27.96,43469.00833,582,0,
20137252,839833408,27.96,43469.00836,582,0,
20137645,839834923,28.33,43469.00838,582,0,
20137645,839834923,28.33,43469.0084,582,0,
20137645,839834923,28.33,43469.00843,582,0,
20138331,839839472,28.89,43469.00845,582,0,
20138331,839839472,28.89,43469.00847,582,0,
20138861,839843301,29.07,43469.0085,582,0,
20139088,839844930,29.07,43469.00852,582,0,
20139316,839846549,29.07,43469.00854,582,0,
20139388,839847373,29.07,43469.00856,582,0,
20139388,839847373,29.07,43469.00859,582,0,
20139527,839849529,26.11,43469.00861,582,0,
20139426,839851028,27.59,43469.00863,582,0,
20137736,839854661,32.59,43469.00866,582,0,
20136565,839856178,35.55,43469.00868,582,0,
20135898,839856920,37.04,43469.0087,235,0,
20133566,839859183,38.15,43469.00873,235,0,
20132067,839860601,36.66,43469.00875,235,0,
20132067,839860601,36.66,43469.00877,235,0,
20130486,839861997,37.41,43469.0088,235,0,
20128157,839863965,36.29,43469.00882,235,0,
20128157,839863965,36.29,43469.00884,235,0,
20126578,839865223,35.74,43469.00887,235,0,
20124332,839867129,34.44,43469.00889,235,0,
20122085,839869192,35.92,43469.00891,235,0,
20120750,839870686,37.41,43469.00894,235,0,
20119414,839872212,35.92,43469.00896,235,0,
20117658,839874493,33.7,43469.00898,388,0,
20117658,839874493,33.7,43469.009,388,0,
20116570,839875979,32.96,43469.00903,388,0,
20116067,839876691,31.85,43469.00905,388,0,
20115144,839878169,30,43469.00907,388,0,
20114703,839880571,28.15,43469.0091,38,0,
20115014,839882096,26.66,43469.00912,38,0,
20115894,839884218,28.7,43469.00914,38,0,
20116297,839884920,28.7,43469.00917,38,0,
20117185,839886335,30,43469.00919,38,0,
20118156,839887709,29.44,43469.00921,38,0,
20119780,839889630,30,43469.00924,38,0,
20120917,839890890,30.37,43469.00926,38,0,
20122137,839892129,30.18,43469.00928,38,0,
20123358,839893253,28.89,43469.00931,38,0,
20124662,839894282,29.81,43469.00933,38,0,
20126051,839895207,28.33,43469.00935,2693,0,
20128177,839896395,27.78,43469.00937,2693,0,
20129485,839897139,25,43469.0094,2693,0,
20129485,839897139,25,43469.00942,2693,0,
20130139,839897485,25.37,43469.00944,2693,0,
20131448,839898187,25.74,43469.00947,2693,0,
20133495,839899078,26.48,43469.00949,2693,0,
20134887,839899707,27.03,43469.00951,2693,0,
20136279,839900326,28.15,43469.00954,2693,0,
20138488,839901409,28.33,43469.00956,2693,0,
20139792,839902480,28.89,43469.00958,2693,0,
20140847,839903781,29.44,43469.00961,4260,0,
20141250,839904483,29.63,43469.00963,4260,0,
20142211,839906712,28.89,43469.00965,4260,0,
20142686,839908218,28.15,43469.00968,4260,0,
20142686,839908218,28.15,43469.0097,4260,0,
20142998,839909658,27.96,43469.00972,4260,0,
20143216,839912036,27.78,43469.00975,4260,0,
20143207,839912818,27.96,43469.00977,4260,0,
20143024,839914325,27.4,43469.00979,4260,0,
20142094,839916363,27.78,43469.00981,4260,0,
20141254,839917736,29.44,43469.00984,4260,0,
20140249,839919192,34.44,43469.00986,4260,0,
20140249,839919192,34.44,43469.00988,4260,0,
20139077,839920783,37.22,43469.00991,4260,0,
20137985,839922607,39.26,43469.00993,4260,0,
20136890,839924632,43.33,43469.00995,4260,0,
20135530,839928195,48.15,43469.00998,4833,0,
20134759,839930699,44.63,43469.01,4833,0,
20133993,839932739,35.55,43469.01002,4833,0,
20133993,839932739,35.55,43469.01005,4833,0,
20133653,839933632,34.26,43469.01007,4833,0,
20132388,839936183,34.44,43469.01009,4833,0,
20131462,839937861,35.55,43469.01012,4833,0,
20130536,839939561,34.26,43469.01014,4833,0,
20129196,839941435,24.07,43469.01016,4833,0,
20128198,839942278,23.15,43469.01019,4833,0,
20126207,839943521,18.14,43469.01021,4833,0,
20126207,839943521,18.14,43469.01023,4833,0,
20126207,839943521,18.14,43469.01025,4833,0,
20126207,839943521,18.14,43469.01028,4833,0,
20126207,839943521,18.14,43469.0103,4833,0,
20126207,839943521,18.14,43469.01032,4833,0,
20126207,839943521,18.14,43469.01035,4833,0,
20126207,839943521,18.14,43469.01037,4833,0,
20126207,839943521,18.14,43469.01039,4833,0,
20126207,839943521,18.14,43469.01042,4833,0,
20126207,839943521,18.14,43469.01044,4833,0,
20126207,839943521,18.14,43469.01046,4833,0,
20125605,839945679,5.92,43469.01049,4833,0,
20125444,839945402,6.48,43469.01051,4833,0,
20125283,839945115,5.55,43469.01053,-1,0,
20124957,839944837,5.92,43469.01056,-1,0,
20124712,839944612,2.59,43469.01058,-1,0,
20124631,839944579,0.55,43469.0106,-1,0,
20124548,839944610,0.18,43469.01062,-1,0,
20124548,839944589,0.55,43469.01065,-1,0,
20124466,839944556,0.18,43469.01067,-1,0,
